sim month CECoverage CEPremium
319 15 0.00 2016533.27
319 16 0.00 2220204.50
319 17 0.00 2409940.47
319 18 0.00 2315500.51
319 19 0.00 2546180.28
319 20 0.00 2608459.47
319 21 0.00 2559174.05
319 22 0.00 2811012.81
319 23 0.00 2442000.45
319 24 0.00 2616436.40
319 25 0.00 2509677.24
319 26 0.00 2682691.52
319 27 0.00 2625853.55
319 28 0.00 2965198.39
319 29 0.00 2514984.64
319 30 0.00 2757552.45
319 31 0.00 2813496.09
319 32 0.00 2542818.21
319 33 0.00 2666361.55
319 34 0.00 2689492.25
319 35 0.00 2335283.68
319 36 0.00 2615761.74
319 37 0.00 2219592.75
319 38 0.00 2257939.46
319 39 0.00 2241451.14
319 40 0.00 2395745.40
319 41 0.00 2136536.10
319 42 0.00 2284697.80
319 43 0.00 2280448.53
319 44 0.00 2191537.72
319 45 0.00 2352868.84
319 46 0.00 2066289.08
319 47 0.00 2160295.27
319 48 8875093.18 2347295.41
319 49 9801926.33 2043387.76
319 50 8983554.70 2126309.28
319 51 7844902.41 2103461.64
319 52 7085412.36 2133402.33
319 53 6396693.30 2055154.14
319 54 5903281.92 2193906.22
319 55 5486767.01 1957940.28
319 56 5138526.26 1969478.40
319 57 4911939.01 2076046.30
319 58 4625367.47 1922153.20
319 59 4324815.71 1924957.17
319 60 4449332.17 2001927.61
319 61 4482360.62 1815198.25
319 62 4527753.60 1967676.79
319 63 4565836.14 2114043.84
319 64 4637109.02 1822645.29
319 65 4711585.16 1928240.46
319 66 4744879.12 2006422.21
319 67 4843102.91 1842089.65
319 68 4955353.81 1845767.00
319 69 4963135.17 1856210.59
319 70 4790025.14 1873767.27
319 71 4629568.63 1947716.73
319 72 4384021.98 1737854.62
319 73 4054264.88 1717899.65
319 74 3751584.00 1942754.27
319 75 3537244.35 1706751.98
319 76 3347801.22 1824879.07
319 77 3159281.01 1907606.02
319 78 2713695.78 1721808.91
319 79 2306457.03 1888326.08
319 80 1965918.52 1865905.38
319 81 1658273.29 1803366.37
319 82 1432406.49 1995068.09
319 83 1256324.84 1692929.85
319 84 1110995.70 1849467.75
319 85 1091004.92 1657412.13
319 86 1084902.02 1844866.35
319 87 1080202.25 1653120.66
319 88 1077368.67 1807292.85
319 89 1085369.12 1765809.44
